Airline,month(2019),Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price
IndiGo,March,Banglore,New Delhi,BLR → DEL,170,0,No info,3897
SpiceJet,June,Kolkata,Banglore,CCU → BLR,145,0,No info,3873
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,930,1,In-flight meal not included,11087
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,1530,1,In-flight meal not included,11087
Multiple carriers,May,Delhi,Cochin,DEL → BOM → COK,470,1,No info,8625
Air India,June,Delhi,Cochin,DEL → BLR → COK,795,1,No info,8907
IndiGo,April,Kolkata,Banglore,CCU → BLR,155,0,No info,4174
Air India,June,Chennai,Kolkata,MAA → CCU,135,0,No info,4667
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,730,1,In-flight meal not included,9663
IndiGo,April,Kolkata,Banglore,CCU → BLR,155,0,No info,4804
Air India,March,Delhi,Cochin,DEL → AMD → BOM → COK,1595,2,No info,14011
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,1355,1,In-flight meal not included,10262
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,1235,1,In-flight meal not included,12898
GoAir,March,Delhi,Cochin,DEL → BOM → COK,310,1,No info,19495
IndiGo,April,Banglore,Delhi,BLR → DEL,170,0,No info,3943
IndiGo,May,Banglore,Delhi,BLR → DEL,175,0,No info,4823
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,800,1,In-flight meal not included,7757
Jet Airways,June,Delhi,Cochin,DEL → IDR → BOM → COK,910,2,No info,13292
GoAir,May,Delhi,Cochin,DEL → BOM → COK,355,1,No info,7682
Vistara,June,Banglore,Delhi,BLR → DEL,170,0,No info,4668
Vistara,June,Chennai,Kolkata,MAA → CCU,135,0,No info,3687
Vistara,June,Chennai,Kolkata,MAA → CCU,135,0,No info,3687
IndiGo,April,Banglore,Delhi,BLR → DEL,170,0,No info,4423
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,330,1,In-flight meal not included,12373
IndiGo,June,Delhi,Cochin,DEL → BOM → COK,625,1,No info,5894
SpiceJet,May,Kolkata,Banglore,CCU → MAA → BLR,315,1,No info,4649
Air India,May,Kolkata,Banglore,CCU → BLR,150,0,No info,6245
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,375,1,No info,19225
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,715,1,No info,14924
